Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
11:27:02,NaN,6,90,148,0
11:26:50,NaN,0,0,43,0
18:32:38,NaN,5,75,93,0
18:07:41,NaN,8,120,148,0
18:51:35,NaN,0,0,86,0
14:59:24,NaN,3,45,45,0
18:01:24,NaN,3,45,114,0
13:04:53,NaN,10,2020,160,0
18:05:16,NaN,9,135,128,0
19:28:53,NaN,1,15,67,0
18:09:57,NaN,5,75,65,0
13:26:36,NaN,3,45,74,0
14:53:37,NaN,7,105,129,0
18:48:56,NaN,5,75,71,0
19:24:31,NaN,3,45,73,0
19:53:26,NaN,5,75,66,0
13:23:29,NaN,5,75,30,0
14:56:21,NaN,1,15,66,0
18:03:52,NaN,10,2020,99,0
15:18:16,NaN,8,120,120,0
11:11:29,NaN,10,2020,149,0
13:36:04,NaN,7,155,129,0
13:42:06,NaN,8,120,128,0
11:08:24,NaN,7,105,96,0
15:25:58,NaN,5,75,82,0
19:24:33,NaN,9,135,120,0
13:54:06,NaN,9,135,139,0
11:57:44,NaN,3,45,108,0
14:33:46,NaN,6,90,152,0
18:08:10,NaN,3,45,97,0
14:14:01,NaN,0,0,31,0
19:53:32,NaN,3,45,68,0
14:34:12,NaN,5,75,72,0
19:17:33,NaN,4,60,110,0
18:04:29,NaN,3,45,127,0
15:40:33,NaN,7,105,48,0
18:41:30,NaN,5,75,109,0
13:41:35,NaN,6,90,101,0
19:30:17,NaN,2,30,40,0
15:26:02,NaN,7,105,165,0
18:30:14,NaN,6,90,39,0
11:07:58,NaN,1,15,85,0
19:56:58,NaN,7,105,73,0
18:00:15,NaN,2,30,81,0
18:00:56,NaN,5,75,60,0
14:26:00,NaN,6,90,92,0
13:41:35,NaN,7,105,78,0
18:47:12,NaN,7,105,147,0
18:37:10,NaN,9,135,131,0
14:28:56,NaN,3,45,87,0
18:40:05,NaN,0,0,38,0
19:54:11,NaN,3,45,83,0
16:13:27,NaN,4,60,85,0
16:09:15,NaN,5,75,77,0
16:12:32,NaN,4,60,147,0
18:08:03,NaN,3,45,75,0
13:54:12,NaN,1,15,71,0
13:20:52,NaN,4,60,71,0
16:12:41,NaN,3,45,97,0
19:31:43,NaN,9,135,155,0
19:32:51,NaN,0,0,44,0
15:12:33,NaN,8,120,128,0
15:12:30,NaN,6,90,127,0
11:15:22,NaN,0,0,66,0
14:33:36,NaN,1,15,40,0
11:59:25,NaN,3,45,130,0
13:00:18,NaN,7,105,92,0
18:48:04,NaN,9,135,155,0
20:01:23,NaN,3,45,48,0
15:14:25,NaN,5,75,109,0
15:18:05,NaN,6,90,92,0
19:57:46,NaN,4,60,78,0
18:51:01,NaN,0,0,20,0
14:14:20,NaN,3,45,129,0
19:56:44,NaN,7,105,85,0
16:13:33,NaN,5,75,63,0
18:08:00,NaN,10,1360,118,0
19:51:47,NaN,2,30,48,0
11:27:59,NaN,0,0,92,0
19:19:28,NaN,7,105,86,0
18:00:27,NaN,7,105,97,0
18:28:45,NaN,4,60,96,0
19:26:17,NaN,5,75,124,0
15:16:39,NaN,1,15,20,0
14:55:42,NaN,3,45,117,0
14:46:15,NaN,3,45,116,0
18:06:17,NaN,3,45,49,0
13:54:22,NaN,3,45,116,0
13:00:41,NaN,3,45,60,0
11:57:13,NaN,5,75,108,0
18:01:04,NaN,3,45,72,0
19:20:59,NaN,4,60,130,0
18:02:25,NaN,0,0,53,0
15:19:08,NaN,0,0,37,0
13:36:38,NaN,3,45,81,0
18:00:16,NaN,9,135,122,0
18:14:53,NaN,9,135,172,0
16:12:36,NaN,6,90,105,0
19:19:34,NaN,9,135,138,0
18:43:34,NaN,5,75,56,0
14:26:30,NaN,8,120,125,0
18:33:38,NaN,6,90,74,0
11:13:10,NaN,9,135,138,0
12:01:53,NaN,1,15,75,0
13:02:26,NaN,0,0,75,0
14:23:48,NaN,0,0,45,0
19:53:15,NaN,5,75,99,0
20:03:41,NaN,5,75,112,0
20:09:16,NaN,5,75,101,0
19:51:08,NaN,6,90,78,0
13:26:26,NaN,9,135,111,0
18:47:57,NaN,3,45,69,0
18:50:12,NaN,3,45,85,0
13:45:09,NaN,5,75,135,0
13:37:08,NaN,0,0,28,0
19:56:45,NaN,4,60,40,0
11:15:13,NaN,4,60,102,0
19:56:27,NaN,0,0,71,0
13:35:44,NaN,5,75,108,0
20:01:05,NaN,4,60,108,0
19:35:12,NaN,4,60,70,0
18:02:59,NaN,4,60,145,0
14:15:39,NaN,3,45,39,0
19:57:14,NaN,3,45,89,0
13:26:16,NaN,8,120,120,0
18:03:23,NaN,1,15,66,0
14:56:21,NaN,9,135,153,0
15:14:45,NaN,2,30,37,0
15:17:09,NaN,5,75,86,0
11:28:04,NaN,0,0,31,0
15:14:47,NaN,4,60,54,0
13:21:40,NaN,0,0,35,0
20:00:34,NaN,3,45,63,0
18:38:30,NaN,6,90,174,0
13:43:20,NaN,7,105,157,0
15:17:55,NaN,0,0,25,0
13:22:16,NaN,8,120,126,0
18:01:17,NaN,6,90,158,0
15:14:45,NaN,3,45,73,0
14:36:00,NaN,7,105,76,0
15:17:43,NaN,6,90,145,0
18:52:47,NaN,5,75,52,0
19:26:13,NaN,8,120,195,0
19:31:12,NaN,9,135,172,0
18:36:41,NaN,7,105,139,0
16:08:45,NaN,1,15,117,0
18:09:46,NaN,6,90,149,0
13:55:03,NaN,6,90,114,0
13:26:41,NaN,5,75,126,0
13:53:29,NaN,3,45,73,0
18:27:39,NaN,5,75,91,0
13:36:51,NaN,9,135,128,0
13:00:09,NaN,5,75,109,0
13:36:12,NaN,8,120,149,0
16:16:57,NaN,4,60,96,0
18:47:12,NaN,3,45,53,0
14:25:47,NaN,3,45,21,0
18:47:53,NaN,1,15,87,0
13:06:19,NaN,3,45,76,0
18:39:21,NaN,5,75,54,0
11:09:17,NaN,5,75,122,0
16:10:39,NaN,6,90,126,0
18:39:09,NaN,6,90,68,0
12:00:04,NaN,1,15,70,0
12:00:32,NaN,1,15,69,0
13:25:52,NaN,7,425,148,0
15:14:43,NaN,5,75,143,0
19:26:17,NaN,4,60,58,0
19:23:57,NaN,5,75,100,0
20:00:29,NaN,0,0,73,0
18:29:00,NaN,3,45,83,0
18:10:39,NaN,0,0,60,0
14:46:04,NaN,1,15,94,0
19:22:56,NaN,3,45,92,0
11:28:09,NaN,3,45,63,0
14:33:45,NaN,0,0,21,0
14:12:19,NaN,3,45,133,0
19:34:48,NaN,7,105,111,0
16:15:28,NaN,1,15,39,0
11:07:56,NaN,3,45,88,0
12:00:50,NaN,3,45,80,0
18:48:05,NaN,5,75,161,0
18:29:49,NaN,3,45,70,0
18:37:29,NaN,7,105,124,0
18:47:56,NaN,6,90,77,0
14:34:45,NaN,0,0,23,0
20:03:01,NaN,4,60,121,0
20:06:56,NaN,7,105,127,0
15:15:23,NaN,7,105,87,0
20:09:44,NaN,1,15,22,0
11:29:31,NaN,3,45,61,0
19:22:07,NaN,6,90,86,0
19:54:33,NaN,0,0,81,0
20:03:45,NaN,1,15,74,0
12:59:02,NaN,4,60,101,0
13:26:40,NaN,7,105,90,0
18:41:18,NaN,2,30,61,0
19:57:30,NaN,7,105,65,0
18:05:52,NaN,3,45,89,0
19:30:45,NaN,6,90,108,0
11:08:38,NaN,3,45,79,0
18:33:13,NaN,1,15,62,0
12:00:55,NaN,3,45,98,0
18:08:47,NaN,3,45,129,0
20:00:51,NaN,0,0,104,0
11:05:21,NaN,1,15,77,0
19:28:12,NaN,5,75,125,0
18:07:39,NaN,1,15,143,0
19:27:45,NaN,3,45,91,0
19:58:26,NaN,0,0,21,0
19:21:58,NaN,3,45,64,0